dist,rssi
3.0,-7.4000000e+01
3.0,-7.2000000e+01
3.0,-7.4000000e+01
3.0,-7.7000000e+01
3.0,-7.4000000e+01
3.0,-7.2000000e+01
3.0,-7.4000000e+01
3.0,-7.2000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.3000000e+01
3.0,-7.4000000e+01
3.0,-7.2000000e+01
3.0,-7.4000000e+01
3.0,-7.5000000e+01
3.0,-7.5000000e+01
3.0,-7.4000000e+01
3.0,-7.6000000e+01
3.0,-7.2000000e+01
3.0,-7.3000000e+01
3.0,-7.5000000e+01
3.0,-7.2000000e+01
3.0,-7.5000000e+01
3.0,-6.9000000e+01
3.0,-7.2000000e+01
3.0,-7.2000000e+01
3.0,-7.2000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.2000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.3000000e+01
3.0,-7.4000000e+01
3.0,-7.2000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.2000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.2000000e+01
3.0,-7.4000000e+01
3.0,-7.1000000e+01
3.0,-7.2000000e+01
3.0,-6.9000000e+01
3.0,-7.1000000e+01
3.0,-7.4000000e+01
3.0,-7.1000000e+01
3.0,-6.9000000e+01
3.0,-7.3000000e+01
3.0,-6.9000000e+01
3.0,-6.9000000e+01
3.0,-7.3000000e+01
3.0,-7.3000000e+01
3.0,-7.3000000e+01
3.0,-6.9000000e+01
3.0,-7.3000000e+01
3.0,-7.4000000e+01
3.0,-6.9000000e+01
3.0,-7.2000000e+01
3.0,-6.9000000e+01
3.0,-6.9000000e+01
3.0,-7.3000000e+01
3.0,-7.2000000e+01
3.0,-7.4000000e+01
3.0,-7.3000000e+01
3.0,-6.8000000e+01
3.0,-6.9000000e+01
3.0,-7.4000000e+01
3.0,-7.3000000e+01
3.0,-7.3000000e+01
3.0,-6.8000000e+01
3.0,-7.4000000e+01
3.0,-6.9000000e+01
